,CPU cores,CPU freq,CPU model,RAM,ROM,SIM cards,battery,brand,charging port,comments,front camera,model,month,price,rear camera,rear camera specs,resolution,screen material,screen size,weight,year
21002892145,八核,以官网信息为准,麒麟710,4GB,128GB,2个,3400（典型值）,华为（HUAWEI）,Micro USB,4100+,800万像素, 华为畅享 9S,以官网信息为准,1268.00,3个,2400万+1600万+200万像素,2340*1080,其他,6.21英寸,390,2019年
40889733197,,,其他,,,2个,3750mAh,华为（HUAWEI）,Type-C,300+,,荣耀V10,11月,1728.00,后置双摄,,659074,IPS,5.99英寸,约172g（含电池）,2017年
17131041587,八核,最高2.36GHz,--,4GB,64GB,2个,2950mAh(典型值）,华为（HUAWEI）,Type-C,600+,2000万像素,PIC-AL00,6月,1289.00,2个,800万像素,1920*1080,LTPS,5.0英寸,约143g(含电池),2017年
31545073591,八核,--,--,4GB,64GB,2个,4000（典型值）,华为（HUAWEI）,Micro USB,700+,1600万+200万像素,--,以官网信息为准,1039.00,2个,1300+200万像素,其他,其他,其他,170,2018年
41041182012,,,骁龙660（MSM8976Plus）,4GB,64GB,2个,4000-3900以官网信息为准,小米（MI）,Type-C,1800+,,红米Note7,1月,1163.00,,,697416,其他,6.3英寸,186 以官网信息为准,2019年
28573980957,八核,以官网信息为准,其他,6GB,64GB,2个,3340mAh(典型值）,华为（HUAWEI）,Type-C,2800+,2000万+200万像素,HWI-AL00,12月,1498.00,2个,2000万+1600万像素,2160*1080,IPS,6.0英寸,约169g(含电池),2017年
50605347981,八核,以官网信息为准,骁龙855,8GB,128GB,2个,4000,vivo,Type-C,30+,2x1200万像素,iQOO,3月,2998.00,3个,1300万+1200万+200万像素,2340*1080,Super AMOLED,6.41英寸,196,2019年
48034736902,,,Helio P35,6GB,128GB,2个,2900-3000 以官网信息为准,小米（MI）,Micro USB,400+,,小米Play,12月,998.00,,,683880,其他,5.84英寸,150      以官网信息为准,2018年
40278505436,八核,以官网信息为准,其他,6GB,64GB,2个,3340mAh(典型值）,,Type-C,4000+,2000万+200万像素,nova 2S,12月,1599.00,2个,2000万+1600万像素,2160*1080,IPS,6.0英寸,约169g(含电池),2017年
41008876623,,,骁龙660（MSM8976Plus）,,,2个,4000mAh（typ）,小米（MI）,Type-C,5100+,,红米Note7,以官网信息为准,1248.00,后置双摄,,2340*1080,其他,6.3英寸,186,2019年
100003978324,八核,2×Cortex-A76 Based 2.6GHz+ 2×Cortex-A76 Based 1.92GHz  + 4×Cortex-A55 1.8GHz,麒麟980,8GB,256GB,2个,4000mAh（典型值） 3900mAh（最小值）,华为（HUAWEI）,Type-C,4100+,2500万像素,荣耀V20,12月,4599.00,2个,4800万像素,2310*1080,IPS,6.4英寸,约180克（含电池） 备注：实际重量依配置、制造工艺、测量方法的不同可能有所差异。,2018年
100002507059,八核,2×Cortex-A76 Based 2.6GHz+ 2×Cortex-A76 Based 1.92GHz  + 4×Cortex-A55 1.8GHz,麒麟980,8GB,256GB,2个,4000mAh（典型值） 3900mAh（最小值）,华为（HUAWEI）,Type-C,4100+,2500万像素,荣耀V20,12月,4199.00,2个,4800万像素,2310*1080,IPS,6.4英寸,约180克（含电池） 备注：实际重量依配置、制造工艺、测量方法的不同可能有所差异。,2018年
48836402987,,,其他,其他,其他,2个,4000mAh（typ）/3900mAh（min）,小米（MI）,Micro USB,200+,,Redmi 7A,5月,568.00,,,655599,其他,5.45英寸,165,2019年
41306815154,,,骁龙632,4GB,64GB,2个,3900-4000以官网信息为准,小米（MI）,Micro USB,900+,,红米7,3月,872.00,,,699383,其他,6.26英寸,180 以官网信息为准,2019年
44539946320,,,骁龙855,,,2个,3300mAh(typ)/3200mAh(min),小米（MI）,Type-C,1400+,,小米9,2月,3328.00,后置三摄,,697416,AMOLED,6.39 英寸,173g,2019年
35023548904,,,其他,,,2个,3300mAh,三星（SAMSUNG）,Type-C,3600+,,SM-G6200,以官网信息为准,1299.20,后置双摄,,2160*1080,其他,6.0英寸,183,2018年
48824458691,,,其他,,,2个,3950mAh （额定值） 4035mAh（典型值,OPPO,Type-C,2600+,,PCDT10,5月,2299.00,后置双摄,,697416,AMOLED,6.4英寸,约186,2019年
40018965625,,,其他,,,2个,3340mAh,华为（HUAWEI）,Micro USB,700+,,荣耀畅玩7X,10月,999.00,后置双摄,,2160x1080像素,IPS,5.9英寸,约165g(含电池),2017年
49011315449,四核,Cortex A53 1.5GHz,其他,3GB,32GB,2个,3020,华为（HUAWEI）,Micro USB,800+,500万像素,畅享8e青春,6月,729.00,2个,1300万像素,1440*720,TFT,5.7英寸,142,2018年
32369029643,,,骁龙450,,,2个,4230mAh,OPPO,Mini USB,1.1万+,,A5,7月,899.00,后置双摄,,699383,TFT,6.2英寸,168,2018年
29317302245,八核 + 微智核i7,-,--,6GB,64GB,2个,3750mAh（典型值）,,Type-C,2500+,1600万像素,荣耀Play,6月,1588.00,2个,1600万+200万像素,其他,其他,6.3英寸,约176克（含电池）,2018年
45641880499,,,麒麟710,,,2个,3400,华为（HUAWEI）,Micro USB,100+,,20i,4月,1399.00,后置三摄,,697416,IPS,6.21英寸,约164,2019年
11544050477,,,麒麟710,6GB,128GB,2个,3340mAh（典型值）,华为（HUAWEI）,Micro USB,2900+,,VTR-AL00,8月,1619.00,,,2340*1080,TFT,6.3英寸,169,2018年
35229488754,八核,以官网信息为准,--,8GB,128GB,2个,3200mAh （typ）,小米（MI）,Type-C,500+,2400万+200万像素,小米mix3,以官网信息为准,2568.00,2个,双1200万像素,其他,AMOLED,其他,约218,2018年
51450085790,,,骁龙845（SDM845）,,,2个,4500,vivo,Type-C,0,, iQOO Neo ,7月,1998.00,后置三摄,,697416,AMOLED,其他英寸,198.5,2019年
34183192746,八核,其他,其他,4GB,64GB,2个,4000mAh（典型值） 3900mAh（最小值）,华为（HUAWEI）,Micro USB,1200+,800万像素,荣耀畅玩8c,10月,1008.00,2个,1300万+200万像素,1520x720,IPS,6.26英寸,167.2,2018年
35856568353,,,其他,,,2个,3200mAh,,Type-C,500+,,荣耀9,6月,1428.00,后置双摄,,683870,LTPS,5.15英寸,约155g（含电池）,2017年
26695638345,,,其他,3GB,32GB,2个,0,华为（HUAWEI）,Micro USB,3800+,,0,3月,718.00,,,655599,其他,5.7英寸,0,2018年
4526057,其他,其他,其他,其他,其他,2个,1400,天语（K-Touch）,Micro USB,6600+,无,N1,以官网信息为准,99.00,1个,30万像素,240*320,其他,2.4英寸,108,2019年
31258856186,八核,其他,骁龙845（SDM845）,其他,其他,2个,3010（典型值）,魅族（MEIZU）,Type-C,1800+,2000万像素,魅族 16th,8月,1958.00,2个,2000+1200万像素,2160*1080,其他,6.0英寸,152,2018年
46570457289,,,麒麟980,8GB,512GB,2个,4200mAh（典型值）,华为（HUAWEI）,Type-C,200+,,华为P30pro,4月,6888.00,,,754689,OLED,6.47英寸,192,2019年
7435202,八核,2.2GHz,骁龙660,6GB,128GB,2个,3500,黑莓（BlackBerry）,Type-C,1万+,800万像素,KEY2,6月,3999.00,2个,1200万像素,1620*1080,IPS,4.5英寸,168,2018年
100006386682,,,骁龙845（SDM845）,,,2个,4500,vivo,Type-C,400+,,iQOO Neo,7月,1998.00,后置三摄,,2340×1080,AMOLED,6.38英寸,198.5,2019年
47272140609,四核,Cortex A53 1.5GHz,其他,2GB,32GB,2个,3020,华为（HUAWEI）,Micro USB,100+,500万像素,畅享8e 青春版,6月,999.00,1个,1300万像素,1440*720,IPS,5.46英寸,约142(含电池),2018年
31071878612,,,其他,4GB,64GB,2个,4000mAh（典型值）,华为（HUAWEI）,Micro USB,3800+,,华为畅享8Plus,4月,1048.00,,,659074,IPS,,170g,2018年
32942960126,,,其他,,,2个,以官方信息为准,苹果（Apple）,Lightning（iPhone）,2700+,,iPhone XS Max,9月,7557.00,后置双摄,,726000,OLED,6.5英寸,208,2018年
50542863724,,,麒麟710,,,2个,4000,,Type-C,70+,,nova5i,6月,2199.00,后置四摄,,737156,TFT LCD（IPS）,6.4英寸,178,2019年
35458467007,,,其他,,,2个,3020,华为（HUAWEI）,Micro USB,800+,, 畅玩7,7月,509.00,后置单摄,,655599,IPS,5.45英寸,142,2018年
37183566308,,,其他,,,2个,4000mAh	,,Type-C,400+,,荣耀V9,2月,1408.00,后置双摄,,683865,TFT,5.7英寸,184g,2017年
43557941924,,,骁龙632,,,2个,其他,,Micro USB,200+,,Redmi 7 ,以官网信息为准,878.00,后置双摄,,596120,其他,6.26英寸,180克,2019年
44198260194,,,麒麟980,,,2个,3650,华为（HUAWEI）,Type-C,300+,,P30,4月,4288.00,后置三摄,,FHD+ 2340*1080,OLED,6.1英寸,172,2019年
42769295062,,,其他,其他,其他,2个,4000,魅族（MEIZU）,Type-C,400+,,魅族Note9,3月,1236.00,,,728961,其他,6.2英寸,169.7,2019年
42378403868,,,骁龙675,,,2个,4000mAh（typ）,小米（MI）,Type-C,100+,,红米note7Pro,3月,1418.00,后置双摄,,697416,其他,6.3英寸,约186克,2019年
28739711975,,,其他,,,2个,以官网信息为准,小米（MI）,Type-C,3100+,,小米8 SE,以官网信息为准,1265.00,后置双摄,,其他,其他,其他英寸,164,2018年
12402409841,其他,以官网信息为准,其他,其他,其他,1个,以官网信息为准,苹果（Apple）,其他,7700+,500万像素,iPhone 6S Plus,9月,3119.00,1个,1200万像素,1920*1080,IPS,5.5英寸,192,2015年
39876241307,,,,,,2个,3750mAh（典型值）,,Type-C,1300+,, nova 4,以官网信息为准,2799.00,,,737156,其他,6.4英寸,172,2018年
100006058100,八核,2.2 GHz,骁龙710,4GB,64GB,2个,5000,vivo,Micro USB,2700+,1600万像素,Z5x,5月,1498.00,3个,1600万+800万+200万像素,2340*1080,LCD,6.53英寸,204.1,2019年
51474645349,,,骁龙845（SDM845）,,,2个,4500,vivo,Type-C,0,,iQOO Neo,7月,1798.00,后置三摄,,2340×1080,其他,其他英寸,198.5,2019年
34559784661,,,麒麟710,6GB,128GB,2个,4000mAh(典型值）,,,2500+,,华为畅享9 Plus,10月,1799.00,,,697416,TFT,6.5英寸,约173g(含电池),2018年
23770360458,八核,以官网信息为准,其他,4GB,64GB,2个,3340mAh(典型值）,华为（HUAWEI）,Type-C,800+,2000万+200万像素,nova2s,1月,1339.00,2个,2000万+1600万像素,2160*1080,IPS,6.0英寸,约169g(含电池)(以官方信息为准）,2018年
35706055476,,,麒麟980,8GB,128GB,2个,3500mAh（典型值）,,Type-C,500+,1600万+200万像素,magic2,11月,2568.00,,2400万+1600万像素,其他,其他,,约206克（含电池）,2018年
16514570149,,,其他,6GB,128GB,2个,4000mAh（典型值）,,Type-C,1900+,,LON-AL00,以官网信息为准,2768.00,,,683865,AMOLED,5.5英寸,约169g,2016年
100002705380,八核,1.5GHz ,mt6750,4GB,64GB,2个,2800mAh,小辣椒,Micro USB,5.8万+,500万像素,红辣椒7X,12月,689.00,2个,1300万像素,其他,TFT,5.5英寸,154g,2018年
48348020419,,,骁龙675,,,2个,4000,vivo,Type-C,1600+,,X27,3月,2998.00,后置三摄,,2340*1080,AMOLED,6.39英寸,188.3,2019年
35026075562,,,,4GB,128GB,2个,3340,,Micro USB,900+,,nova3i,8月,1278.00,,,697416,其他,6.3英寸,169,2018年
46552975916,,,麒麟980,,,2个,3650mAh（典型值）电池额定容量为3550mA,,Type-C,500+,,HUAWEI P30,4月,4288.00,后置三摄,,697416,OLED,6.1英寸,165,2019年
100003896684,其他,其他,其他,其他,64GB,2个,以官网信息为准,Apple,Lightning（iPhone）,7600+,700万像素,iPhone XS Max,9月,8065.00,2个,双1200万像素,2688*1242,OLED,6.5英寸,208,2018年
18241544612,其他,以官网信息为准,其他,其他,256GB,1个,以官网信息为准,苹果（Apple）,其他,4000+,其他,iPhone8,以官网信息为准,5299.00,其他,1200万像素,其他,其他,其他,以官网信息为准,2017年
50117753634,,,麒麟710,,,2个,4000mAh（典型值）,华为（HUAWEI）,Type-C,60+,,nova 5i,6月,2199.20,后置四摄,,737156,LTPS,6.4英寸,178,2019年
32156607131,其他,以官网信息为准,其他,其他,其他,其他,3750,华为（HUAWEI）,其他,3700+,其他,荣耀Play,6月,1955.00,2个,1600+200万像素,其他,其他,6.3英寸,约176克,2018年
50509040433,,,麒麟980,,,2个,3500mAh（典型值）,华为（HUAWEI）,Type-C,60+,,华为nova5pro,6月,2999.00,,,697416,其他,6.39 英寸,约171克（含电池）,2019年
47705330016,八核,以官网信息为准,骁龙730,6GB,128GB,2个,4000mAh（typ）/3900mAh（min）,小米（MI）,Type-C,100+,2000万像素,Redmi K20,5月,2099.00,3个,4800万+1300万+800万像素,2340*1080,AMOLED,6.39 英寸,191,2019年
11704358259,,,其他,6GB,128GB,2个,3340mAh（典型值）,华为（HUAWEI）,Type-C,3600+,,nova4e,以官网信息为准,1999.00,,,746545,LTPS,6.15英寸,约166克（含电池）,2019年
33195837188,八核,0,麒麟710,6GB,128GB,2个,0,华为（HUAWEI）,Micro USB,3600+,2400万+200万像素,0,7月,1768.00,2个,1600万+1200万像素,2340*1080,TFT,6.3英寸,0,2018年
45257686622,八核,以官网发布信息为准,麒麟980,6GB,128GB,2个,4000mAh（典型值）,华为（HUAWEI）,Type-C,20+,2400万像素,Mate 20,10月,3999.00,3个,1600万像素+1200万像素+800万像素,2244*1080,TFT LCD（IPS）,6.53英寸,约188克（含电池）,2018年
33322368319,八核,其它,麒麟710,6GB,128GB,2个,3340,,Micro USB,2300+,2400万+200万像素,INE-AL00,8月,1598.00,2个,1600+200万像素,2340*1080,TFT,6.3英寸,169,2018年
43838457157,,,麒麟980,,,2个,3650mAh（典型值）,华为（HUAWEI）,Type-C,80+,,HUAWEI P30,4月,3988.00,后置三摄,,754689,OLED,6.1英寸,约165,2019年
29462906884,八核,-,骁龙625（MSM8953）,4GB,64GB,2个,4000mAh（typ）/3900mAh（min）,小米（MI）,Micro USB,3600+,500万像素,红米6 Pro,6月,1088.00,2个,1200+500万像素,2280x1080,其他,5.84英寸,178,2018年
48356369503,八核,以官网信息为准,骁龙675,其他,其他,2个,4000mAh,魅族（MEIZU）,Type-C,100+,1600万像素,16Xs,6月,1499.00,3个,4800万+800万+500万像素,2232*1080,OLED,6.2英寸,165,2019年
45601358328,,,麒麟710,,,2个,3400mAh（典型值）,华为（HUAWEI）,Micro USB,100+,,荣耀20i,4月,1399.00,后置三摄,,697416,IPS,6.21英寸,约164克,2019年
38476959435,八核 + 微智核i7,4×73 2.36GHz+4× 53 1.8GHz,Kirin 970,8GB,128GB,2个,3750mAh（典型值）,,Type-C,2800+,2500万像素,VCE-AL00,12月,2799.20,3个,2000万+1600万+200万像素,2310*1080,LCD,6.4英寸,172g,2018年
47611953964,八核,4*Cortex-A73 2.2GHz + 4*C,麒麟710F,其他,其他,2个,4000mAh(典型值）,华为（HUAWEI）,其他,100+,1600万+200万像素,畅享9plus,10月,1178.00,2个,1300+200万像素,2340×1080,IPS,6.5英寸,约173g(含电池),2018年
4901275,其他,其他,其他,其他,其他,2个,1000,飞利浦（Philips）,Micro USB,7500+,无,E321,8月,349.00,1个,200万像素,240*320,TFT,2.4英寸,110.6,2017年
34660381695,,,麒麟980,6GB,128GB,2个,5000mAh（典型值）,华为（HUAWEI）,Type-C,90+,,Mate 20 X,10月,4099.00,,,683887,OLED,7.2英寸,约232克（含电池）,2018年
40468792100,,,其他,3GB,32GB,2个,3180mAh,OPPO,Micro USB,5800+,,OPPO A1,4月,799.00,,,655599,TFT,5.7英寸,143,2018年
33568250394,,,骁龙660（AIE）,,,其他,3350mAh,,Type-C,4500+,,0,9月,1311.00,后置双摄,,2280x1080,其他,6.26英寸,0,2018年
36639671874,,,其他,,,2个,4000mAh,,Type-C,100+,,p20 pro,4月,3688.00,后置三摄,,2240x1080像素,OLED,6.1英寸,180g,2018年
26853911646,八核,以官网信息为准,骁龙430（MSM8937）,3GB,32GB,其他,3000mAh（典型容量）,,其他,3500+,800万像素,以官网信息为准,4月,798.00,其他,1300万像素,1440*720,其他,5.7英寸,约150g(含电池),2018年
43737557937,八核,--,麒麟980,8GB,128GB,2个,4200mAh（典型值）,华为（HUAWEI）,Type-C,300+,3200万像素,HUAWEI P30 Pro,4月,5488.00,3个,4000+2000+800万像素,2340*1080,OLED,其他,192,2019年
48390689805,,,麒麟980,,,2个,3650mAh（典型值）,华为（HUAWEI）,Type-C,400+,,HUAWEI P30,以官网信息为准,4288.20,后置三摄,,2340*1080,其他,6.1英寸,165,2019年
39910065208,,,,8GB,128GB,2个,3750mAh（典型值）,华为（HUAWEI）,Type-C,3500+,,华为nova4,12月,2799.80,,,737156,IPS,6.4英寸,约172克（含电池）,2018年
26810753123,八核,0,--,4GB,64GB,2个,0,华为（HUAWEI）,Micro USB,3500+,1600万+200万像素,0,4月,1048.00,2个,1300+200万像素,其他,TFT,其他,0,2018年
50019429096,,,其他,,,2个,4000mAh（典型值）,华为（HUAWEI）,Micro USB,100+,,华为畅享9,以官网信息为准,999.20,后置双摄,,1520x720,其他,6.26英寸,约168克（含电池）,2018年
22864675206,八核,以官网信息为准,骁龙450,3GB,32GB,2个,4000mAh（典型值）,华为（HUAWEI）,Micro USB,3400+,800万像素,华为畅享9,12月,799.00,2个,1300+200万像素,1520x720,TFT,6.26英寸,约168克（含电池）,2018年
19591525712,其他,以官网信息为准,其他,其他,64GB,1个,以官网信息为准,苹果（Apple）,其他,700+,700万像素,iPhone 8 Plus,9月,4598.00,2个,双1200万像素,1920*1080,其他,5.5英寸,202,2017年
27624772919,八核,以官网信息为准,骁龙660（AIE）,6GB,64GB,2个,3010(typ) / 2910(min),小米（MI）,Type-C,1800+,2000万像素,以官网信息为准,4月,948.00,2个,2000+1200万像素,2160*1080,其他,5.99英寸,168,2018年
28203619007,八核,-,Kirin 970,6GB,64GB,2个,3400,华为（HUAWEI）,Type-C,3400+,2400万像素,P20,4月,2985.00,2个,1200万像素,其他,TFT,5.8英寸,约165,2018年
37297332990,八核,2.2GHz +1.7GHz,其他,6GB,128GB,2个,3400mAh（典型值）,,Micro USB,2300+,2400万像素,荣耀10青春版,11月,1538.00,2个,1300万+200万像素,其他,其他,6.21英寸,约162克,2018年
48059506100,,,麒麟980,8GB,128GB,2个,3750mAh（典型值）,,Type-C,100+,,荣耀20,6月,2699.00,,,754689,TFT LCD（IPS）,6.26英寸,约174g,2019年
26869892598,,,骁龙430（MSM8937）,2GB,32GB,2个,3000,,Micro USB,1400+,,荣耀7A,4月,629.00,,,655599,IPS,5.7英寸,150,2018年
45715410489,八核,-,骁龙855,6GB,128GB,2个,3600mAh,魅族（MEIZU）,Type-C,1100+,其他,16s,4月,2698.00,2个,4800万+2000万像素,其他,OLED,6.2英寸,165,2019年
48002632849,,,骁龙855,,,2个,4000,,Type-C,600+,,7 Pro,5月,5099.00,后置三摄,,729589,AMOLED,6.7英寸,206,2019年
29783158622,八核,1.8GHz,其他,其他,其他,2个,4230mAh（典型值）,OPPO,Micro USB,9700+,800万像素,A5,7月,1199.00,2个,1200万+800万像素,其他,TFT,6.2英寸,168,2018年
45065250525,,,其他,6GB,64GB,2个,3400mAh,,Micro USB,400+,,荣耀20i,4月,1399.00,,,754689,IPS,6.21英寸,约164克（含电池）,2019年
33310046418,八核,其他,骁龙845（SDM845）,6GB,128GB,2个,其他,小米（MI）,Type-C,4300+,2000万像素,小米8,5月,1908.00,2个,双1200万像素,其他,其他,其他,其他,2018年
16414812052,其他,-,--,其他,64GB,1个,以官网信息为准,Apple,Lightning（iPhone）,6900+,700万像素,iPhone X,9月,6168.00,2个,1200万像素,2436×1125,其他,其他,174,2017年
16462803160,,,其他,其他,128GB,1个,以官网信息为准,,,3200+,,其他,以官网信息为准,2869.00,,,596120,其他,5.5英寸,其他,2015年
40707959579,,,麒麟980,8GB,256GB,2个,4000mAh（典型值） 3900mAh（最小值）,华为（HUAWEI）,Type-C,600+,,荣耀V20,12月,3399.00,,,737156,其他,6.4英寸,约180克（含电池）,2018年
29282189374,其他,以官网信息为准,其他,2GB,16GB,其他,以官网信息为准,,其他,4200+,500万像素,红米6A,6月,599.00,1个,1300万像素,其他,其他,5.45英寸,以官网信息为准,2018年
28680465232,,,其他,,,2个,3340,,Micro USB,1200+,,麦芒6,9月,1028.00,后置单摄,,659074,IPS,5.9英寸,164g,2017年
50645345914,,,麒麟710,,,2个,4000mAh（典型值）,,Type-C,50+,,nova 5i,6月,2199.00,后置四摄,,737156,LTPS,6.4英寸,178,2019年
32905668388,八核,以官方信息为准,麒麟710,6GB,64GB,2个,3750,华为（HUAWEI）,Type-C,3200+,2400万+200万像素,麦芒7,以官网信息为准,1428.00,2个,2000万像素,2340*1080,其他,6.3英寸,约172克（含电池）,2018年
20747724170,,,,6GB,64GB,2个,4000mAh（典型值),华为（HUAWEI）,Type-C,1500+,,华为HUAWEI Mate10 Pro,11月,2658.00,,,659074,OLED,6.0英寸,约178g（含电池）,2017年
33268359657,,,其他,,,2个,3350mAh（typ）/3250mAh(min）,小米（MI）,Type-C,2100+,,小米8青春版,9月,1279.00,后置双摄,,2280x1080,其他,6.26英寸,169,2018年
100006345106,八核,2.2Ghz,骁龙710,8GB,128GB,2个,3765mAh（典型值）3680mAh（额定值）,OPPO,Type-C,2.6万+,1600万像素,K3,5月,1899.00,2个,1600+200万像素,2340*1080,AMOLED,6.5英寸,191,2019年
35702790572,,,麒麟980,,,2个,3500mAh（典型值）,,Type-C,500+,,荣耀Magic2,10月,2499.00,后置三摄,,2340*1080,AMOLED,6.39 英寸,约206克,2018年
41249904286,,,,8GB,128GB,2个,3750mAh（典型值）,,Type-C,2100+,,VCE-AL00,12月,2799.00,,,737156,LCD,6.4英寸,172,2018年
40256963649,,,Helio P35,,,2个,3000mAh（typ）/2900mAh（min）,,Micro USB,300+,,小米Play,12月,758.00,后置双摄,,683880,其他,5.84英寸,约150,2018年
44883673874,,,骁龙712,6GB,128GB,2个,2970-3070以官网信息为准,小米（MI）,Type-C,1600+,,小米9SE,3月,2008.00,,,697416,AMOLED,5.97英寸,约155,2019年
34952129816,,,其他,,,2个,3200,,Type-C,500+,,P10,3月,1568.00,后置双摄,,683870,其他,5.1英寸,145,2017年
46569759617,,,麒麟980,,,2个,4200mAh（典型值）,华为（HUAWEI）,Type-C,100+,,HUAWEI P30 Pro,4月,5488.00,后置四摄,,697416,OLED,6.47英寸,192g,2019年
12801366967,八核,其他,其他,2GB,16GB,2个,3020mAh,华为（HUAWEI）,Micro USB,3200+,500万像素,6A,以官网信息为准,618.00,1个,1300万像素,其他,其他,5.0英寸,143g,2017年
46553573024,,,麒麟980,,,2个,以官网信息为准,,Type-C,100+,,以官网信息为准,4月,5988.00,后置四摄,,2340×1080,其他,6.47英寸,以官网信息为准,2019年
26888171939,八核,-,其他,2GB,32GB,2个,3000mAh（典型容量）,华为（HUAWEI）,Micro USB,3100+,800万像素,畅玩7A,4月,628.00,1个,1300万像素,1440*720,其他,5.7英寸,约150g(含电池),2018年
41312873015,,,Helio P35,6GB,128GB,2个,2900-3000以官网信息为准,小米（MI）,Micro USB,200+,,小米Play,12月,1118.00,,,683880,其他,5.84英寸,150以官网信息为准,2018年
32967773495,其他,其他,其他,其他,64GB,2个, 以官网信息为准,,Lightning（iPhone）,200+,700万像素,iPhone XR,10月,5089.00,1个,1200万像素,1792*828,LCD,6.1英寸,194,2018年
100000384321,八核,以官网信息为准, 骁龙660,4GB,128GB,2个,2900,美图（Meitu）,Type-C,4500+,1200万+500万像素,美图T9限量版/幻彩版,9月,1699.00,2个,1200+500万像素,其他,AMOLED,5.88英寸18.7：9全面屏,174.8,2018年
45672335149,,,麒麟710,,,2个,3400mAh（典型值） 3320mAh（最小值）,,Micro USB,800+,,20i,4月,1399.00,无后置摄像头,,697416,IPS,6.21英寸,约164克,2019年
30345370574,,,其他,,,2个,5000,华为（HUAWEI）,Type-C,3200+,,荣耀Note10,7月,2165.00,后置双摄,,596120,AMOLED,6.9英寸,230,2018年
47872682089,,,其他,,,2个,4000,,Type-C,1600+,,7 Pro,5月,5299.00,后置三摄,,3120x1440,AMOLED,其他英寸,206,2019年
42284504911,八核,以官网信息为准,麒麟710,4GB,64GB,2个,3400,,Micro USB,500+,800万像素,华为畅享 9S,3月,1299.00,3个,2400万+1600万+200万像素,2340*1080,TFT LCD（IPS）,6.21英寸,约160g,2019年
45697679332,,,其他,,,2个,3340mAh（典型值）,华为（HUAWEI）,Type-C,900+,,nova 4e,以官网信息为准,1788.20,后置三摄,,2312*1080,其他,6.15英寸,约159克（含电池）,2019年
26017074477,,,其他,,,1个,2750mAh,,Lightning（iPhone）,2800+,,iPhone 6s Plus,9月,2838.00,后置单摄,,683870,IPS,5.5英寸,192 ,2015年
31311336163,八核,2.36GHz+1.8GHz+微智核i7,Kirin 970,6GB,128GB,2个,4000mAh（典型值),,Type-C,500+,800万像素,mate10 pro,11月,2999.00,2个,2000+1200万像素,2160*1080,OLED,6.0英寸,178g,2017年
41028337559,,,骁龙660（MSM8976Plus）,,,2个,4000mAh（typ）/3900mAh（min）,小米（MI）,Type-C,4100+,,红米note7,1月,1239.00,后置双摄,,2340*1080,其他,6.3英寸,186,2019年
7250254,其他,260mhz,--,其他,其他,2个,1200,飞利浦（Philips）,Mini USB,2.5万+,其他,E135X,4月,298.00,1个,30万像素,240*320,其他,2.4英寸,130,2018年
49499605044,,,骁龙710,,,2个,3765,OPPO,Type-C,2100+,,OPPO K3,6月,1899.00,后置双摄,,2340*1080,AMOLED,6.5英寸,191,2019年
100006126562,其他,其他,其他,512MB,4GB,2个,1700,飞利浦（Philips）,Micro USB,200+,无,E517,6月,349.00,1个,30万像素,240*320,TFT,2.4英寸,109,2019年
35147406407,,,骁龙660（MSM8976Plus）,6GB,64GB,2个,3600mAh（典型值）（额定值3500mAh）,OPPO,Micro USB,700+,,K1,11月,1399.00,,,697416,OLED,6.4英寸,156,2018年
30412009533,八核,以官网信息为准,Kirin 970,6GB,128GB,2个,3750mAh（典型值,华为（HUAWEI）,Type-C,2000+,2400万像素,华为nova3,7月,2278.00,2个,2400万+1600万像素,2340*1080,TFT,6.3英寸,约166克（含电池）,2018年
28778365076,八核,1.7-2.2,麒麟710,6GB,64GB,2个,3400,华为（HUAWEI）,Micro USB,70+,3200万像素,荣耀20i,4月,1599.00,3个,2400万+800万+200万像素,2340*1080,IPS,6.21英寸,165,2019年
48376892620,八核,以官网信息为准,其他,6GB,128GB,2个,3340mAh(典型值）,华为（HUAWEI）,Type-C,3000+,2000万+200万像素,以官网信息为准,12月,1758.00,2个,2000万+1600万像素,2160*1080,IPS,6.0英寸,约169g(含电池),2017年
46303941893,八核 + 微智核i6,以官网信息为准,麒麟710,其他,其他,2个,3340mAh,,Type-C,300+,3200万像素,nova 4e,3月,1799.00,3个,2400万+800万+200万像素,2312*1080,LTPS,6.15英寸,约159克,2019年
16603899404,其他,其他,其他,其他,64GB,1个,以官网信息为准,苹果（Apple）,Lightning（iPhone）,5800+,700万像素,其他,9月,4999.00,1个,1200万像素,其他,其他,5.5英寸,202,2017年
33570033074,,,其他,4GB,64GB,2个,以官网信息为准,华为（HUAWEI）,,700+,,荣耀9i,6月,1068.00,,,683880,其他,5.84英寸,155以官网信息为准,2018年
28643235388,,,,其他,其他,2个,3750（典型值）,,Type-C,300+,,以官网信息为准,6月,1499.00,,,其他,其他,6.3英寸,以官网信息为准,2018年
34663011088,其他,以官网信息为准,--,其他,其他,其他,4000mAh（典型值）,,其他,100+,2400万像素,Mate 20,以官网信息为准,3999.00,3个,1600万像素+1200万像素+800万像素,2244*1080,TFT,6.53英寸,约188克（含电池）,2018年
34208745716,八核,-,其他,其他,其他,2个,3100（典型值）,魅族（MEIZU）,其他,1900+,2000万像素,魅族 16X,9月,1538.00,2个,2000万+1200万像素,2160*1080,其他,6.0英寸,154,2018年
